name,author
Shopaholic Takes Manhattan,Sophie Kinsella
Contact,Carl Sagan
The Tommyknockers,Stephen King
Reading Lolita in Tehran,Azar Nafisi
The Dream Thieves,Maggie Stiefvater
Life as We Knew It,Susan Beth Pfeffer
The Marriage Plot,Jeffrey Eugenides
A Crown of Swords,Robert Jordan
Annihilation,Jeff VanderMeer
The Mysterious Benedict Society,Trenton Lee Stewart
Dirk Gently''s Holistic Detective Agency,Douglas Adams
Seven Up,Janet Evanovich
The Iron Daughter,Julie Kagawa
Commonwealth,Ann Patchett
Golden Son,Pierce Brown
Uprooted,Naomi Novik
All Creatures Great and Small,James Herriot
Attack on Titan Vol 1,Hajime Isayama
Hard Eight,Janet Evanovich
Among the Hidden,Margaret Peterson Haddix
The Idiot,Fyodor Dostoyevsky
Daughter of Fortune,Isabel Allende
The Murder of Roger Ackroyd,Agatha Christie
The Statistical Probability of Love at First Sight,Jennifer E. Smith
The Infinite Sea,Rick Yancey
The Awakening,Kelley Armstrong
Handle with Care,Jodi Picoult
Dead Witch Walking,Kim Harrison
The Lost World,Michael Crichton
The Goose Girl,Shannon Hale
Fullmetal Alchemist Vol 1,Hiromu Arakawa
The Girl in the Spider''s Web,David Lagercrantz
The Reckoning,Kelley Armstrong
Gabriel''s Rapture,Sylvain Reynard
The Eyre Affair,Jasper Fforde
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
Confess,Colleen Hoover
The Amulet of Samarkand,Jonathan Stroud
Winter of the World,Ken Follett
The One and Only Ivan,Katherine Applegate
The Marriage Bargain,Jennifer Probst
Dubliners,James Joyce
Under the Never Sky,Veronica Rossi
The Big Sleep,Raymond Chandler
One Thousand White Women: The Journals of Mary Dodd,Jim Fergus
The Ruins of Gorlan,John Flanagan
White Teeth,Zadie Smith
Rise of the Evening Star,Brandon Mull
The Psychopath Test,Jon Ronson
House of Leaves,Mark Danielewski
Moloka''i,Alan Brennert
Chocolat,Joanne Harris
The Complete Fairy Tales,Hans Christian Anderson
The Glass Menagerie,Tennessee Williams
A Moveable Feast,Ernest Hemingway
